,Survived,Pclass,SibSp,Parch,Embarked_C,Embarked_Q,Embarked_S,Sex_female,Sex_male,Age,Fare
0,1,1,0,2,0,0,1,0,1,1.3862943611198906,4.394449154672439
1,1,1,0,0,1,0,0,1,0,3.1780538303479458,4.418840607796598
2,1,1,0,0,1,0,0,1,0,3.4011973816621555,4.02535169073515
3,1,1,1,0,1,0,0,1,0,2.833213344056216,4.68213122712422
4,1,1,0,0,1,0,0,1,0,3.4965075614664802,4.700480365792417
5,1,1,1,2,0,0,1,0,1,0.0,5.017279836814924
6,1,1,0,0,1,0,0,1,0,3.1780538303479458,3.8918202981106265
7,0,1,0,0,0,0,1,0,1,3.8918202981106265,3.258096538021482
8,1,1,2,2,1,0,0,1,0,2.8903717578961645,5.568344503761097
9,1,1,1,0,0,0,1,0,1,3.871201010907891,3.9512437185814275
10,1,1,0,0,0,0,1,0,1,3.9318256327243257,3.4011973816621555
11,0,1,1,2,0,0,1,1,0,0.6931471805599453,5.017279836814924
12,0,1,0,0,1,0,0,0,1,3.6635616461296463,3.295836866004329
13,1,1,0,0,1,0,0,1,0,3.6375861597263857,5.424950017481403
14,1,1,1,0,1,0,0,1,0,2.9444389791664403,4.51085950651685
15,1,1,0,0,0,0,1,1,0,3.258096538021482,4.356708826689592
16,1,1,2,0,0,0,1,1,0,3.970291913552122,3.9318256327243257
17,1,1,0,1,1,0,0,1,0,3.912023005428146,5.5093883366279774
18,0,1,0,0,0,0,1,0,1,3.8066624897703196,3.258096538021482
19,1,1,0,0,0,0,1,1,0,3.091042453358316,5.017279836814924
20,1,1,1,1,1,0,0,1,0,3.6888794541139363,4.897839799950911
21,1,1,0,1,0,0,1,1,0,3.091042453358316,4.007333185232471
22,0,1,0,0,0,0,1,0,1,4.0943445622221,3.258096538021482
23,0,1,0,0,0,0,1,0,1,3.828641396489095,3.5553480614894135
24,0,1,1,1,1,0,0,0,1,3.8918202981106265,4.700480365792417
25,1,1,3,2,0,0,1,1,0,3.1780538303479458,5.572154032177765
26,0,1,0,0,0,0,1,0,1,3.8066624897703196,3.5553480614894135
27,1,1,0,0,1,0,0,1,0,3.713572066704308,4.897839799950911
28,1,1,0,2,0,0,1,1,0,3.4339872044851463,5.099866427824199
29,0,1,1,0,0,0,1,0,1,3.367295829986474,4.189654742026425
30,1,1,1,0,0,0,1,1,0,3.58351893845611,4.890349128221754
31,1,1,0,0,0,0,1,0,1,3.5553480614894135,3.258096538021482
32,0,1,0,1,0,0,1,0,1,3.6375861597263857,5.030437921392435
33,0,1,0,0,0,0,1,0,1,3.8066624897703196,3.332204510175204
34,1,1,0,1,1,0,0,1,0,2.772588722239781,4.04305126783455
35,1,1,0,0,1,0,0,1,0,3.58351893845611,4.90527477843843
36,1,1,0,0,0,0,1,0,1,3.7376696182833684,3.258096538021482
37,1,1,1,0,1,0,0,1,0,2.8903717578961645,5.424950017481403
38,1,1,1,0,0,0,1,0,1,3.295836866004329,3.970291913552122
39,1,1,1,0,0,0,1,1,0,4.143134726391533,4.343805421853684
40,0,1,0,1,1,0,0,0,1,3.6109179126442243,3.367295829986474
41,1,1,1,0,1,0,0,1,0,3.4339872044851463,4.727387818712341
42,1,1,0,0,1,0,0,0,1,3.6888794541139363,3.4339872044851463
43,1,1,0,0,0,0,1,1,0,3.4965075614664802,4.454347296253507
44,1,1,1,2,0,0,1,1,0,3.58351893845611,4.787491742782046
45,1,1,1,0,0,0,1,1,0,3.9318256327243257,4.343805421853684
46,0,1,0,0,1,0,0,0,1,3.828641396489095,3.6635616461296463
47,1,1,0,0,1,0,0,1,0,4.060443010546419,4.983606621708336
48,1,1,0,0,1,0,0,1,0,3.4657359027997265,4.330733340286331
49,1,1,0,0,1,0,0,1,0,3.784189633918261,3.295836866004329
50,0,1,0,0,0,0,1,0,1,3.6888794541139363,3.912023005428146
51,0,1,0,0,1,0,0,1,0,3.912023005428146,3.332204510175204
52,1,1,0,1,0,0,1,1,0,3.7612001156935624,5.351858133476067
53,0,1,0,0,1,0,0,0,1,4.02535169073515,3.4011973816621555
54,1,1,1,0,0,0,1,1,0,2.833213344056216,4.04305126783455
55,0,1,0,0,0,0,1,0,1,3.367295829986474,3.4011973816621555
56,0,1,0,0,0,0,1,0,1,4.110873864173311,3.4965075614664802
57,1,1,0,0,0,0,1,0,1,3.8066624897703196,3.258096538021482
58,1,1,1,0,0,0,1,0,1,3.6375861597263857,4.499809670330265
59,0,1,1,0,0,0,1,0,1,2.9444389791664403,3.970291913552122
60,1,1,1,0,0,0,1,1,0,3.5553480614894135,4.418840607796598
61,0,1,0,0,0,0,1,0,1,3.9318256327243257,3.4339872044851463
62,1,1,0,0,0,0,1,1,0,3.5553480614894135,4.90527477843843
63,1,1,0,1,0,0,1,1,0,4.060443010546419,5.030437921392435
64,1,1,0,0,0,0,1,1,0,3.367295829986474,5.351858133476067
65,0,1,0,0,0,0,1,0,1,3.6888794541139363,0.0
66,0,1,1,1,0,0,1,0,1,3.9512437185814275,4.3694478524670215
67,1,1,0,0,1,0,0,1,0,3.5553480614894135,6.238324625039508
68,1,1,0,0,0,0,1,1,0,3.4011973816621555,4.454347296253507
69,1,1,0,0,1,0,0,1,0,3.4011973816621555,4.3694478524670215
70,1,1,0,0,1,0,0,0,1,3.5553480614894135,6.238324625039508
71,0,1,0,0,0,0,1,0,1,4.127134385045092,3.258096538021482
72,1,1,1,1,0,0,1,0,1,3.6109179126442243,3.9512437185814275
73,1,1,0,0,0,0,1,0,1,3.912023005428146,3.4011973816621555
74,0,1,2,0,0,1,0,0,1,3.784189633918261,4.499809670330265
75,0,1,1,0,0,0,1,0,1,3.58351893845611,4.356708826689592
76,1,1,2,2,1,0,0,1,0,3.044522437723423,5.568344503761097
77,0,1,1,1,0,0,1,0,1,4.248495242049359,4.2626798770413155
78,1,1,1,0,0,0,1,0,1,3.4339872044851463,4.04305126783455
79,1,1,0,1,0,0,1,1,0,2.70805020110221,5.351858133476067
80,1,1,1,0,1,0,0,1,0,4.0943445622221,4.31748811353631
81,1,1,0,0,1,0,0,1,0,3.1780538303479458,4.23410650459726
82,0,1,0,0,0,0,1,0,1,3.8501476017100584,3.5263605246161616
83,0,1,0,0,0,0,1,0,1,3.713572066704308,3.7376696182833684
84,1,1,1,0,1,0,0,1,0,3.9889840465642745,4.07753744390572
85,1,1,0,0,0,0,1,0,1,3.58351893845611,3.258096538021482
86,1,1,0,0,1,0,0,0,1,3.5553480614894135,3.258096538021482
87,1,1,0,0,0,0,1,0,1,3.8918202981106265,3.258096538021482
88,0,1,1,0,1,0,0,0,1,2.8903717578961645,4.68213122712422
89,1,1,0,0,0,0,1,1,0,3.4011973816621555,4.532599493153256
90,1,1,0,0,0,0,1,1,0,2.772588722239781,4.454347296253507
91,1,1,0,0,0,0,1,1,0,3.6888794541139363,5.030437921392435
92,0,1,1,2,0,0,1,1,0,3.2188758248682006,5.017279836814924
93,1,1,1,0,1,0,0,1,0,3.9889840465642745,4.356708826689592
94,0,1,0,0,1,0,0,0,1,4.2626798770413155,3.8918202981106265
95,0,1,0,0,0,0,1,0,1,4.007333185232471,3.4011973816621555
96,0,1,0,0,1,0,0,0,1,4.060443010546419,3.367295829986474
97,1,1,1,0,0,0,1,1,0,3.5553480614894135,4.499809670330265
98,1,1,0,0,0,0,1,0,1,3.295836866004329,3.4011973816621555
99,1,1,1,0,1,0,0,0,1,3.8918202981106265,4.02535169073515
100,1,1,0,1,1,0,0,1,0,3.784189633918261,4.04305126783455
101,0,1,0,0,0,0,1,0,1,3.6109179126442243,5.3981627015177525
102,1,1,1,0,0,0,1,1,0,3.6635616461296463,4.007333185232471
103,1,1,1,1,1,0,0,1,0,3.6635616461296463,4.700480365792417
104,0,1,0,0,1,0,0,0,1,3.58351893845611,3.6888794541139363
105,1,1,1,1,0,0,1,1,0,3.6635616461296463,4.3694478524670215
106,0,1,0,0,1,0,0,0,1,3.6375861597263857,5.424950017481403
107,1,1,1,0,1,0,0,1,0,3.871201010907891,3.6635616461296463
108,0,1,0,0,0,0,1,0,1,4.127134385045092,3.258096538021482
109,1,1,0,2,0,0,1,1,0,2.8903717578961645,4.3694478524670215
110,1,1,0,2,1,0,0,0,1,2.833213344056216,4.700480365792417
111,1,1,1,1,1,0,0,0,1,4.0943445622221,4.3694478524670215
112,0,1,0,0,0,0,1,0,1,4.1588830833596715,3.258096538021482
113,0,1,1,0,1,0,0,0,1,3.912023005428146,4.663439094112067
114,1,1,0,2,0,0,1,1,0,3.58351893845611,4.2626798770413155
115,1,1,0,2,1,0,0,1,0,3.091042453358316,3.8918202981106265
116,1,1,0,0,1,0,0,1,0,3.4011973816621555,4.663439094112067
117,0,1,0,0,0,0,1,0,1,3.8066624897703196,3.258096538021482
118,1,1,1,0,1,0,0,1,0,3.9512437185814275,4.356708826689592
119,1,1,1,0,1,0,0,0,1,3.2188758248682006,4.51085950651685
120,0,1,0,0,0,0,1,0,1,3.8066624897703196,3.2188758248682006
121,1,1,1,0,0,0,1,0,1,3.7376696182833684,3.9512437185814275
122,0,1,0,0,0,0,1,0,1,3.6888794541139363,3.9512437185814275
123,1,1,1,0,0,1,0,1,0,3.4965075614664802,4.499809670330265
124,0,1,0,2,1,0,0,0,1,4.060443010546419,4.727387818712341
125,1,1,2,0,0,0,1,0,1,3.912023005428146,4.890349128221754
126,0,1,0,0,0,0,1,0,1,3.8501476017100584,3.2188758248682006
