,Pclass,SibSp,Parch,Survived,Embarked_C,Embarked_Q,Embarked_S,Sex_female,Sex_male,Age,Fare
0,1,0,0,1,1,0,0,1,0,3.4965075614664802,3.295836866004329
1,1,0,1,1,1,0,0,1,0,3.8066624897703196,4.143134726391533
2,1,1,0,1,1,0,0,1,0,3.5553480614894135,4.04305126783455
3,1,0,1,1,1,0,0,1,0,4.060443010546419,6.238324625039508
4,1,0,0,0,1,0,0,0,1,3.970291913552122,3.332204510175204
5,1,0,0,0,0,0,1,0,1,3.4011973816621555,3.258096538021482
6,1,0,0,1,0,0,1,1,0,3.4965075614664802,5.017279836814924
7,1,0,0,0,1,0,0,0,1,3.58351893845611,4.31748811353631
8,1,1,3,0,1,0,0,0,1,4.110873864173311,5.568344503761097
9,1,0,0,0,0,0,1,0,1,3.6635616461296463,3.9318256327243257
10,1,0,0,0,0,0,1,0,1,3.713572066704308,3.258096538021482
11,1,0,1,1,1,0,0,1,0,3.1354942159291497,4.418840607796598
12,1,0,0,0,1,0,0,0,1,3.6635616461296463,3.367295829986474
13,1,0,0,1,0,0,1,1,0,3.367295829986474,5.3981627015177525
14,1,0,0,0,1,0,0,0,1,3.828641396489095,4.3694478524670215
15,1,0,0,0,0,0,1,0,1,3.7376696182833684,3.258096538021482
16,1,1,0,1,0,0,1,1,0,4.143134726391533,5.3981627015177525
17,1,0,0,1,1,0,0,1,0,3.58351893845611,3.4339872044851463
18,1,0,0,0,0,0,1,0,1,3.912023005428146,3.258096538021482
19,1,0,0,0,1,0,0,0,1,3.4657359027997265,5.351858133476067
20,1,2,0,1,0,0,1,1,0,4.007333185232471,3.2188758248682006
21,1,0,0,1,1,0,0,1,0,3.8066624897703196,5.568344503761097
22,1,1,0,0,0,0,1,0,1,4.204692619390966,5.3981627015177525
23,1,0,0,0,0,0,1,0,1,3.8918202981106265,3.258096538021482
24,1,1,1,1,0,0,1,1,0,3.9889840465642745,4.394449154672439
25,1,0,0,0,0,0,1,0,1,3.8918202981106265,0.0
26,1,0,0,1,1,0,0,1,0,3.4339872044851463,4.897839799950911
27,1,0,1,1,1,0,0,1,0,3.8066624897703196,4.07753744390572
28,1,1,2,1,0,0,1,1,0,3.295836866004329,3.9512437185814275
29,1,0,0,0,1,0,0,0,1,3.2188758248682006,3.258096538021482
30,1,1,0,1,0,0,1,1,0,4.330733340286331,4.356708826689592
31,1,1,0,1,1,0,0,1,0,3.2188758248682006,4.007333185232471
